Iteration,Number of data points,Best value,Point chosen
1,6,1.2692936763660856,
2,6,1.2692936763660856,
3,6,1.2692936763660856,
4,6,1.2692936763660856,
5,6,1.2692936763660856,
6,6,1.2692936763660856,
7,6,1.2692936763660856,
8,6,1.2692936763660856,
9,6,1.2692936763660856,
10,6,1.2692936763660856,
11,6,1.2692936763660856,
12,6,1.2692936763660856,
13,6,1.2692936763660856,
14,6,1.2692936763660856,
15,6,1.2692936763660856,
16,6,1.2692936763660856,
17,6,1.2692936763660856,
18,6,1.2692936763660856,
19,6,1.2692936763660856,
20,6,1.2692936763660856,
21,6,2.4360957507064205,
22,6,2.4360957507064205,
23,6,2.716191359830682,
24,6,2.716191359830682,
25,6,2.716191359830682,
26,6,2.716191359830682,
27,6,2.716191359830682,
28,6,2.716191359830682,
29,6,2.716191359830682,
30,6,2.716191359830682,
31,6,2.716191359830682,
32,6,2.716191359830682,
33,6,2.716191359830682,
34,6,2.716191359830682,
35,6,2.716191359830682,
36,6,2.716191359830682,
37,6,2.716191359830682,
38,6,2.716191359830682,
39,6,2.716191359830682,
40,6,2.716191359830682,
41,6,2.716191359830682,
42,6,2.716191359830682,
43,6,2.716191359830682,
44,6,2.716191359830682,
45,6,2.716191359830682,
46,6,2.716191359830682,
47,6,2.716191359830682,
48,6,2.716191359830682,
49,6,2.716191359830682,
50,6,2.716191359830682,
51,6,2.716191359830682,
52,6,2.716191359830682,
53,6,2.716191359830682,
54,6,2.716191359830682,
55,6,2.716191359830682,
56,6,2.716191359830682,
57,6,2.716191359830682,
58,6,2.716191359830682,
59,6,2.716191359830682,
60,6,2.716191359830682,
61,6,2.716191359830682,
62,6,2.716191359830682,
63,6,2.716191359830682,
64,6,2.716191359830682,
65,6,2.716191359830682,
66,6,2.716191359830682,
67,6,2.716191359830682,
68,6,2.716191359830682,
69,6,2.716191359830682,
70,6,2.716191359830682,
71,6,2.716191359830682,
72,6,2.716191359830682,
73,6,2.716191359830682,
74,6,2.716191359830682,
75,6,2.716191359830682,
76,6,2.716191359830682,
77,6,2.716191359830682,
78,6,2.716191359830682,
79,6,2.716191359830682,
80,6,2.716191359830682,
81,6,2.716191359830682,
82,6,2.716191359830682,
83,6,2.716191359830682,
84,6,2.716191359830682,
85,6,2.716191359830682,
86,6,2.716191359830682,
87,6,2.716191359830682,
88,6,2.716191359830682,
89,6,2.716191359830682,
90,6,2.716191359830682,
91,6,2.716191359830682,
92,6,2.716191359830682,
93,6,2.716191359830682,
94,6,2.716191359830682,
95,6,2.716191359830682,
96,6,2.716191359830682,
97,6,2.716191359830682,
98,6,2.716191359830682,
99,6,2.716191359830682,
